variable,test,stat,p_value,balanced
EMP_SIZE,chi2,10.74,0.7708,True
REVENUE,chi2,3.572,0.99,True
EXPORT_PCT,anova,1.236,0.2958,True
OWNERSHIP,chi2,17.022,0.3176,True
SUPPLY_POS,chi2,9.073,0.8737,True
ESG_REP,chi2,0.939,0.816,True
ISO14001,chi2,6.536,0.0882,True
ENV_INSP,chi2,4.876,0.1811,True
ENV_PEN,chi2,3.498,0.321,True
EPR_REP,chi2,2.451,0.4843,True
AWR_MEAN,anova,0.069,0.9763,True
EO_MEAN,anova,0.495,0.6861,True
CC_MEAN,anova,1.496,0.2144,True
RC_MEAN,anova,0.536,0.6578,True
RP_MEAN,anova,1.564,0.1971,True
REP_MEAN,anova,0.541,0.6544,True
MP_MEAN,anova,1.407,0.2396,True
